1,1
2,56
3,25
4,45
5,25
6,50
7,35
8,25
9,25
10,35
11,25
12,25
13,45
14,35
15,25
16,35
17,50
18,18
19,1
20,25
21,18
22,18
23,35
24,25
25,18
26,25
27,25
28,25
29,35
30,35
31,56
32,25
33,45
34,18
35,45
36,25
37,25
38,18
39,18
40,45
41,18
42,25
43,25
44,45
45,45
46,18
47,18
48,25
49,18
50,25
51,1
52,18
53,25
54,50
55,35
56,35
57,18
58,25
59,50
60,50
61,25
62,35
63,18
64,18
65,35
66,25
67,50
68,18
69,25
70,18
71,25
72,45
73,18
74,35
75,1
76,35
77,18
78,45
79,45
80,56
81,25
82,25
83,25
84,18
85,18
86,1
87,25
88,45
89,56
90,56
91,35
92,18
93,25
94,25
95,45
96,25
97,35
98,35
99,1
100,35
101,18
102,35
103,45
104,25
105,45
106,35
107,45
108,25
109,45
110,25
111,35
112,25
113,18
114,25
115,25
116,25
117,25
118,35
119,1
120,25
121,35
122,18
123,35
124,56
125,45
126,18
127,45
128,56
129,25
130,35
131,18
132,25
133,25
134,25
135,18
136,18
137,45
138,18
139,25
140,35
141,35
142,25
143,18
144,25
145,18
146,35
147,18
148,50
149,25
150,35
151,25
152,18
153,1
154,50
155,35
156,45
157,35
158,56
159,45
160,35
161,45
162,18
163,18
164,56
165,18
166,18
167,25
168,50
169,25
170,25
171,50
172,25
173,25
174,25
175,25
176,18
177,50
178,56
179,25
180,45
181,18
182,18
183,45
184,25
185,45
186,18
187,45
188,56
189,18
190,25
191,18
192,18
193,45
194,1
195,25
196,35
197,18
198,25
199,18
200,18
201,35
202,18
203,18
204,25
205,35
206,25
207,25
208,35
209,35
210,1
211,45
212,25
213,18
214,18
215,35
216,45
217,18
218,35
219,25
220,25
221,25
222,25
223,25
224,18
225,25
226,35
227,35
228,25
229,18
230,45
231,25
232,25
233,45
234,35
235,25
236,25
237,25
238,50
239,18
240,50
241,35
242,18
243,25
244,50
245,35
246,18
247,25
248,18
249,18
250,35
251,56
252,25
253,25
254,35
255,35
256,45
257,18
258,25
259,25
260,18
261,25
262,25
263,25
264,35
265,35
266,35
267,45
268,18
269,25
270,50
271,18
272,18
273,18
274,18
275,25
276,45
277,35
278,45
279,25
280,50
281,35
282,25
283,25
284,25
285,35
286,25
287,50
288,25
289,25
290,25
291,35
292,35
293,56
294,45
295,18
296,50
297,18
298,18
299,25
300,25
301,18
302,18
303,25
304,25
305,18
306,18
307,50
308,25
309,25
310,18
311,18
312,50
313,18
314,56
315,56
316,56
317,35
318,56
319,50
320,35
321,18
322,56
323,45
324,35
325,50
326,50
327,35
328,35
329,35
330,56
331,25
332,50
333,35
334,56
335,35
336,18
337,18
338,35
339,50
340,25
341,56
342,18
343,35
344,35
345,25
346,25
347,56
348,50
349,1
350,45
351,18
352,18
353,35
354,35
355,18
356,56
357,18
358,56
359,25
360,35
361,25
362,35
363,18
364,35
365,18
366,50
367,50
368,25
369,35
370,18
371,18
372,18
373,25
374,35
375,25
376,35
377,25
378,18
379,35
380,25
381,35
382,35
383,25
384,25
385,25
386,25
387,35
388,25
389,25
390,25
391,45
392,18
393,35
394,18
395,18
396,25
397,35
398,25
399,35
400,18
401,18
402,25
403,18
404,18
405,56
406,25
407,18
408,25
409,18
410,25
411,45
412,35
413,25
414,25
415,35
416,45
417,25
418,25
419,18
420,35
421,45
422,56
423,18
424,25
425,25
426,18
427,35
428,18
429,18
430,18
431,18
432,45
433,50
434,45
435,25
436,18
437,35
438,18
439,35
440,56
441,35
442,25
443,25
444,56
445,45
446,50
447,45
448,25
449,25
450,45
451,56
452,50
453,18
454,25
455,35
456,35
457,18
458,50
459,18
460,45
461,50
462,18
463,25
464,18
465,18
466,25
467,35
468,1
469,35
470,1
471,35
472,35
473,18
474,25
475,25
476,35
477,35
478,50
479,25
480,18
481,45
482,25
483,18
484,1
485,56
486,56
487,35
488,25
489,18
490,1
491,18
492,25
493,50
494,35
495,18
496,18
497,25
498,35
499,25
500,18
501,25
502,35
503,35
504,25
505,35
506,25
507,25
508,25
509,25
510,18
511,45
512,35
513,25
514,25
515,25
516,56
517,25
518,35
519,35
520,35
521,56
522,25
523,50
524,18
525,35
526,45
527,25
528,18
529,35
530,25
531,18
532,25
533,25
534,25
535,35
536,25
537,45
538,56
539,25
540,18
541,18
542,18
543,25
544,35
545,35
546,25
547,35
548,35
549,25
550,45
551,35
552,50
553,25
554,25
555,18
556,25
557,56
558,35
559,25
560,45
561,18
562,35
563,25
564,45
565,25
566,25
567,35
568,50
569,18
570,25
571,50
572,18
573,35
574,25
575,25
576,45
577,35
578,18
579,25
580,1
581,50
582,18
583,25
584,25
585,18
586,35
587,25
588,25
589,18
590,35
591,25
592,18
593,50
594,56
595,25
596,25
597,35
